GMfas1			EXT		
t	x	y	t	x	y
10.77586207	32.11051847	8.947055803	10.77586207	20.06170655	29.88551215
10.8311229	32.16339296	8.9481714	10.8311229	20.07899353	29.88589554
10.88638373	32.18494894	8.943086569	10.88638373	20.07990622	29.88599469
10.94164456	32.20635165	8.942010564	10.94164456	20.07880104	29.88603631
10.99690539	32.20673183	8.943788908	10.99690539	20.08014081	29.88609526
11.05216622	32.22926214	8.944995766	11.05216622	20.08032734	29.88612851
11.10742706	32.3034266	8.938187462	11.10742706	20.07957734	29.88588207
11.16268789	32.35111978	8.942489661	11.16268789	20.07857473	29.88594514
11.21794872	32.37858522	8.941500029	11.21794872	20.07546168	29.8856532
11.27320955	32.38767119	8.94196453	11.27320955	20.07194251	29.8858293
11.32847038	32.40245244	8.938474684	11.32847038	20.06979779	29.88552893
11.38373121	32.42875868	8.932438624	11.38373121	20.06693841	29.88500978
11.43899204	32.43472887	8.929157579	11.43899204	20.06141689	29.88461041
11.49425287	32.46627031	8.93141252	11.49425287	20.05853677	29.88444589
11.5495137	32.50782281	8.929487176	11.5495137	20.05789987	29.88440251
11.60477454	32.51592247	8.927941783	11.60477454	20.0566923	29.88440043
11.66003537	32.51635401	8.926203632	11.66003537	20.05614014	29.8842079
11.7152962	32.55359867	8.930469198	11.7152962	20.05471163	29.88415826
11.77055703	32.60380212	8.932245267	11.77055703	20.0552312	29.88404819
11.82581786	32.64055614	8.931146528	11.82581786	20.05685262	29.88393967
11.88107869	32.65793985	8.934512016	11.88107869	20.05303898	29.88396426
11.93633952	32.72880214	8.928223538	11.93633952	20.05325399	29.88391664
11.99160035	32.75013245	8.929233882	11.99160035	20.05314663	29.88400307
12.04686118	32.75403714	8.929410483	12.04686118	20.05347767	29.88387871
12.10212202	32.74537499	8.929102105	12.10212202	20.05231956	29.88384745
12.15738285	32.74890742	8.927673049	12.15738285	20.05327757	29.88412119
12.21264368	32.75849548	8.927708631	12.21264368	20.05350388	29.88410204
12.26790451	32.83407379	8.929114809	12.26790451	20.05420317	29.88413112
12.32316534	32.87110052	8.930220506	12.32316534	20.05314291	29.88434818
12.37842617	32.90063739	8.932862364	12.37842617	20.05563271	29.88431485
12.433687	32.93816288	8.93041176	12.433687	20.05790419	29.88401014
12.48894783	32.95422803	8.927782491	12.48894783	20.05970809	29.88381137
12.54420866	32.97154604	8.928591437	12.54420866	20.06355352	29.8839096
12.5994695	32.96997198	8.929255529	12.5994695	20.06199481	29.88376637
12.65473033	33.02814149	8.932802005	12.65473033	20.06549966	29.88385869
12.70999116	33.07699915	8.93692884	12.70999116	20.06654535	29.8835794
12.76525199	33.08542794	8.934556951	12.76525199	20.06372897	29.88300829
12.82051282	33.10787003	8.931114921	12.82051282	20.06282691	29.88322814
12.87577365	33.1464063	8.931642942	12.87577365	20.06269273	29.88347683
12.93103448	33.14463725	8.931577482	12.93103448	20.05851656	29.88345589
12.98629531	33.16080783	8.930211685	12.98629531	20.05253159	29.88325994
13.04155615	33.17321656	8.932964133	13.04155615	20.05404408	29.88358652
13.09681698	33.19363845	8.932092113	13.09681698	20.05052176	29.88351432
13.15207781	33.20211561	8.931023871	13.15207781	20.05098408	29.88369169
13.20733864	33.19615604	8.935035623	13.20733864	20.05560387	29.88402177
13.26259947	33.21163192	8.933506308	13.26259947	20.05230597	29.88394479
13.3178603	33.26364996	8.931275376	13.3178603	20.05466269	29.88413392
13.37312113	33.27381021	8.932228924	13.37312113	20.05146666	29.88422667
13.42838196	33.28484495	8.929945353	13.42838196	20.05408365	29.88417582
13.48364279	33.30637224	8.92877912	13.48364279	20.05540024	29.88441114
13.53890363	33.30318626	8.931041453	13.53890363	20.05816981	29.88393338
13.59416446	33.29792772	8.931271057	13.59416446	20.05954259	29.8837236
13.64942529	33.31218831	8.929251084	13.64942529	20.05812412	29.88393848
13.70468612	33.30920149	8.9285151	13.70468612	20.06391927	29.88385024
13.75994695	33.3373865	8.931209866	13.75994695	20.05875368	29.88373245
13.81520778	33.36491233	8.931477362	13.81520778	20.05817879	29.88374852
13.87046861	33.37506793	8.93214487	13.87046861	20.06090618	29.88389302
13.92572944	33.3975615	8.930901206	13.92572944	20.06262679	29.88366556
13.98099027	33.41620117	8.928699599	13.98099027	20.0634879	29.88406725
14.03625111	33.44469716	8.926596613	14.03625111	20.06506377	29.88371991
14.09151194	33.47982759	8.926100097	14.09151194	20.06662313	29.88399608
14.14677277	33.50824322	8.926542027	14.14677277	20.06617688	29.88399978
14.2020336	33.51854406	8.929034441	14.2020336	20.06450606	29.88425155
14.25729443	33.53852353	8.934374757	14.25729443	20.06511736	29.88416411
14.31255526	33.6072955	8.931478625	14.31255526	20.06652841	29.88457449
14.36781609	33.64334963	8.928799961	14.36781609	20.06663487	29.88442273
14.42307692	33.66522665	8.93179783	14.42307692	20.06652903	29.8844411
14.47833775	33.69734513	8.930991526	14.47833775	20.06552919	29.88444484
14.53359859	33.74099139	8.927614176	14.53359859	20.07127064	29.8840921
14.58885942	33.77092502	8.92572133	14.58885942	20.06708752	29.8840399
14.64412025	33.82447798	8.922110252	14.64412025	20.06630439	29.88390057
14.69938108	33.84858806	8.922461994	14.69938108	20.06536601	29.88396967
14.75464191	33.8858906	8.92423994	14.75464191	20.06308231	29.88387123
14.80990274	33.92958809	8.926567502	14.80990274	20.06208164	29.88390768
14.86516357	33.96611754	8.929141574	14.86516357	20.0681083	29.88393694
14.9204244	34.00515287	8.932299959	14.9204244	20.07289012	29.88365018
14.97568523	34.06218395	8.932322662	14.97568523	20.08467501	29.88331856
15.03094607	34.12050886	8.936729888	15.03094607	20.10073616	29.88394006
15.0862069	34.18006523	8.933548541	15.0862069	20.10935004	29.8832875
15.14146773	34.21912051	8.936197598	15.14146773	20.16058548	29.88402639
15.19672856	34.26693602	8.934276288	15.19672856	20.18202878	29.88376463
15.25198939	34.30902602	8.935334052	15.25198939	20.19463529	29.88391924
15.30725022	34.36166356	8.934679208	15.30725022	20.20217274	29.88376146
15.36251105	34.40342785	8.931630078	15.36251105	20.20445745	29.88354034
15.41777188	34.42854822	8.934108569	15.41777188	20.20073944	29.88378222
15.47303271	34.45786829	8.930714777	15.47303271	20.19350367	29.88435915
15.52829355	34.50004768	8.926555726	15.52829355	20.18652115	29.884547
15.58355438	34.51334939	8.929768574	15.58355438	20.18703259	29.88421803
15.63881521	34.49534568	8.932345655	15.63881521	20.1824215	29.8842305
15.69407604	34.51271357	8.930086442	15.69407604	20.18184611	29.88402549
15.74933687	34.51588487	8.930602226	15.74933687	20.18013023	29.88438117
15.8045977	34.52906429	8.930373771	15.8045977	20.18057124	29.88457192
15.85985853	34.58028192	8.928806966	15.85985853	20.18020493	29.88449635
15.91511936	34.60251294	8.930809606	15.91511936	20.18161139	29.88486135
15.97038019	34.61005081	8.931257954	15.97038019	20.18483443	29.88528966
16.02564103	34.62622953	8.931171055	16.02564103	20.18182664	29.88557836
16.08090186	34.60597632	8.932620068	16.08090186	20.1813512	29.88550119
16.13616269	34.65801991	8.933272308	16.13616269	20.18164409	29.88547087
16.19142352	34.69603948	8.932684123	16.19142352	20.18029366	29.88514492
16.24668435	34.72376055	8.93214661	16.24668435	20.17990194	29.88524223
16.30194518	34.74560102	8.927250293	16.30194518	20.18051096	29.88497068
16.35720601	34.80652103	8.926047753	16.35720601	20.17685232	29.88487767
16.41246684	34.8863832	8.921488293	16.41246684	20.1828636	29.88471129
16.46772767	34.94498182	8.917997024	16.46772767	20.19024735	29.88454763
16.52298851	34.93862626	8.922331311	16.52298851	20.18998565	29.88413082
16.57824934	34.94963379	8.923334693	16.57824934	20.19216339	29.88436006
16.63351017	34.94197077	8.926256913	16.63351017	20.18968754	29.88410897
16.688771	34.97308618	8.927815909	16.688771	20.19507407	29.88396843
16.74403183	35.02659568	8.919187287	16.74403183	20.19186712	29.88418929
16.79929266	35.04996016	8.916041436	16.79929266	20.18784245	29.88398534
16.85455349	35.06264682	8.913460154	16.85455349	20.18857758	29.88351424
16.90981432	35.05437923	8.920224811	16.90981432	20.18281098	29.88359445
16.96507515	35.04958716	8.923615522	16.96507515	20.18140594	29.88361826
17.02033599	35.07585052	8.921273187	17.02033599	20.18294637	29.8835499
17.07559682	35.10298057	8.928642692	17.07559682	20.19831743	29.88381765
17.13085765	35.18223586	8.924732021	17.13085765	20.20995358	29.88302959
17.18611848	35.21559808	8.929430586	17.18611848	20.21303222	29.88385087
17.24137931	35.25241185	8.928604809	17.24137931	20.20775528	29.88412128
17.29664014	35.28943493	8.915832509	17.29664014	20.19787404	29.88412391
17.35190097	35.32057	8.920640032	17.35190097	20.19129918	29.88436665
17.4071618	35.36262446	8.919514308	17.4071618	20.18715666	29.88404431
17.46242263	35.41434818	8.921993752	17.46242263	20.18218428	29.88387203
17.51768347	35.44720917	8.929395442	17.51768347	20.19656673	29.88379487
17.5729443	35.47769991	8.926857865	17.5729443	20.20029036	29.88385175
