SOLfas			SOLext		
t	x	y	t	x	y
5.7771664370	14.3507937400	10.2653408800	5.7771664370	40.5562427800	16.9693192800
5.7955066480	14.4353611900	10.2631420600	5.7955066480	40.5580404600	16.9688062900
5.8138468590	14.5085124400	10.2668760800	5.8138468590	40.5579315200	16.9699596100
5.8321870700	14.6155539800	10.2717035300	5.8321870700	40.5619076700	16.9709324300
5.8505272810	14.6804211400	10.2707836700	5.8505272810	40.5604311100	16.9713577700
5.8688674920	14.8472015400	10.2789771700	5.8688674920	40.5649293300	16.9672160100
5.8872077030	15.1223307300	10.2740867800	5.8872077030	40.5651143500	16.9638539700
5.9055479140	15.4032194000	10.3113257100	5.9055479140	40.5742144400	16.9604046500
5.9238881250	15.6337765100	10.3401297800	5.9238881250	40.5821915600	16.9535051800
5.9422283360	15.7144362700	10.3423102600	5.9422283360	40.5823041800	16.9484089600
			5.9605685470	40.5942562800	16.9481747100
			5.9789087570	40.6839195600	16.9486222800
			5.9972489680	40.7171098500	16.9449563500
			6.0155891790	40.7048849700	16.9562525800
			6.0339293900	40.7144208000	16.9516886200
			6.0522696010	40.7208119800	16.9424647300
			6.0706098120	40.7274073200	16.9273272000
			6.0889500230	40.7169792100	16.9166233900
			6.1072902340	40.7237552500	16.9184186800
