SOLfas			SOLext		
t	x	y	t	x	y
4.3617118350	10.8801248400	10.9264189700	4.3617118350	38.8665990000	16.9862411700
4.3799616750	10.8804430300	10.9267525000	4.3799616750	38.8715223500	16.9867873600
4.3982115160	10.8774729600	10.9263731600	4.3982115160	38.8645302700	16.9875213900
4.4164613560	10.8792115300	10.9266325200	4.4164613560	38.8712661700	16.9871883800
4.4347111960	10.8786353000	10.9278043800	4.4347111960	38.8708687700	16.9881078000
4.4529610370	10.8789217600	10.9274471000	4.4529610370	38.8690570000	16.9879335000
4.4712108770	10.8808319600	10.9272795600	4.4712108770	38.8721670400	16.9880214600
4.4894607170	10.8796079700	10.9267430600	4.4894607170	38.8681896400	16.9877248500
4.5077105580	10.8795279200	10.9269993100	4.5077105580	38.8706537300	16.9877346700
4.5259603980	10.8803302400	10.9275649800	4.5259603980	38.8710908000	16.9877153800
4.5442102380	10.8816473600	10.9273104100	4.5442102380	38.8700710400	16.9880197500
4.5624600780	10.8842513500	10.9277861900	4.5624600780	38.8695619800	16.9879737200
4.5807099190	10.8825559300	10.9268377000	4.5807099190	38.8702395100	16.9878408200
4.5989597590	10.8869683900	10.9273820700	4.5989597590	38.8668132600	16.9874550500
4.6172095990	10.8910398400	10.9276259400	4.6172095990	38.8669336100	16.9872708000
4.6354594400	10.8914834900	10.9274531500	4.6354594400	38.8684865600	16.9873128100
4.6537092800	10.8993068500	10.9272871100	4.6537092800	38.8674776900	16.9874711700
4.6719591200	10.9208166600	10.9277332100	4.6719591200	38.8670228700	16.9869731500
4.6902089610	10.9792339100	10.9272496600	4.6902089610	38.8653827700	16.9868556600
4.7084588010	11.0108832800	10.9271701800	4.7084588010	38.8671807600	16.9868529100
4.7267086410	11.0441213500	10.9251255100	4.7267086410	38.8704275700	16.9859984400
4.7449584820	11.0599190800	10.9259508000	4.7449584820	38.8699809300	16.9861364400
4.7632083220	11.1648611600	10.9244748000	4.7632083220	38.8713690900	16.9858850200
4.7814581620	11.2139581200	10.9218428800	4.7814581620	38.8687433800	16.9861947800
4.7997080030	11.3134487300	10.9246378300	4.7997080030	38.8708562300	16.9854768700
4.8179578430	11.3582375200	10.9252661500	4.8179578430	38.8696204500	16.9859991800
4.8362076830	11.5592838200	10.9267622900	4.8362076830	38.8686740400	16.9862147900
4.8544575230	11.7725184200	10.9261598600	4.8544575230	38.8692163600	16.9859121800
4.8727073640	11.9397230300	10.9194273500	4.8727073640	38.8650008400	16.9849649400
4.8909572040	12.0442026400	10.9097985200	4.8909572040	38.8653048600	16.9857681700
4.9092070440	12.2435507600	10.9198946600	4.9092070440	38.8627986200	16.9847553300
			4.9274568850	38.8604801400	16.9839717300
			4.9457067250	38.8600515800	16.9832236900
			4.9639565650	38.8599387500	16.9833052000
			4.9822064060	38.8677984400	16.9833843800
			5.0004562460	38.8753106300	16.9837419400
			5.0187060860	38.8734313100	16.9830913600
			5.0369559270	38.8674908900	16.9815195300
			5.0552057670	38.8713884500	16.9809988700
			5.0734556070	38.8501638400	16.9813724200
			5.0917054480	38.8830043200	16.9713729500
			5.1099552880	38.9402505500	16.9682600800
			5.1282051280	38.8339675100	16.9361993500
			5.1464549690	38.8972036400	16.9412805900
			5.1647048090	38.9755635900	16.9682576000
			5.1829546490	38.9415371000	16.9734911400
			5.2012044890	38.9417047600	16.9731338200
			5.2194543300	38.9811906800	16.9715132600
			5.2377041700	38.9566523100	16.9396404800
			5.2559540100	38.9715966100	16.9272038500
			5.2742038510	39.0815392800	16.9136428900
			5.2924536910	39.1199157800	16.9057962900
			5.3107035310	39.1797660600	16.9083027200
			5.3289533720	39.2434808900	16.9142447200
			5.3472032120	39.2706764300	16.9267201600
			5.3654530520	39.2636545400	16.9398783800
			5.3837028930	39.2587825200	16.9384008800
			5.4019527330	39.2540728500	16.9317202400
			5.4202025730	39.2509419400	16.9286111100
			5.4384524140	39.2579255800	16.9235376200
			5.4567022540	39.2602766200	16.9213688600
			5.4749520940	39.2640302500	16.9220655600
			5.4932019340	39.2895668900	16.9275863600
			5.5114517750	39.3344638300	16.9252082000
			5.5297016150	39.3491231400	16.9225913100
			5.5479514550	39.3631857500	16.9245885100
			5.5662012960	39.3717677200	16.9231230200
			5.5844511360	39.3803428500	16.9217797600
			5.6027009760	39.3962376500	16.9181775500
			5.6209508170	39.3930858400	16.9180452300
			5.6392006570	39.3957498900	16.9183568800
			5.6574504970	39.3982905900	16.9187672400
			5.6757003380	39.3982074000	16.9200539600
			5.6939501780	39.4009253400	16.9211968700
			5.7122000180	39.4041836800	16.9219463000
			5.7304498590	39.4061636900	16.9242440300
			5.7486996990	39.4154676400	16.9237646000
			5.7669495390	39.4273321100	16.9232256000
			5.7851993800	39.4253928700	16.9221861600
			5.8034492200	39.4308837600	16.9208485700
			5.8216990600	39.4484109100	16.9186429500
			5.8399489000	39.4613261300	16.9170636200
			5.8581987410	39.4702583800	16.9141237200
			5.8764485810	39.4792285100	16.9120652300
			5.8946984210	39.4880049400	16.9080757100
			5.9129482620	39.4890945900	16.9087301600
			5.9311981020	39.4928095600	16.9081356600
			5.9494479420	39.5009942900	16.9064725800
			5.9676977830	39.5042675800	16.9059355200
			5.9859476230	39.5070601000	16.9064016500
			6.0041974630	39.5056954100	16.9075029500
			6.0224473040	39.5058124600	16.9067249900
			6.0406971440	39.5029254400	16.9085966900
			6.0589469840	39.5060238900	16.9045356300
			6.0771968250	39.5068702500	16.9056842400
			6.0954466650	39.5103805700	16.9073572700
			6.1136965050	39.5087983500	16.9067887700
			6.1319463450	39.5047359100	16.9083115300
			6.1501961860	39.5066389400	16.9078778700
			6.1684460260	39.5052706800	16.9071012100
			6.1866958660	39.5031952300	16.9073913900
			6.2049457070	39.5051694400	16.9084439900
			6.2231955470	39.5047528300	16.9077146100
			6.2414453870	39.5043110600	16.9074036000
			6.2596952280	39.5026794400	16.9076678600
			6.2779450680	39.4992031400	16.9080237000
			6.2961949080	39.4979606700	16.9078735800
			6.3144447490	39.4989541700	16.9064478100
			6.3326945890	39.5029367500	16.9048043000
			6.3509444290	39.5013921300	16.9044049700
			6.3691942700	39.5025165700	16.9005211300
			6.3874441100	39.4974828600	16.9051344600
			6.4056939500	39.4946402200	16.9037576900
			6.4239437900	39.4997747500	16.9031872800
			6.4421936310	39.4962763900	16.9027318700
			6.4604434710	39.4960219100	16.9042538300
			6.4786933110	39.4917671800	16.9051680900
			6.4969431520	39.4894990300	16.9073342300
			6.5151929920	39.4882277900	16.9072702400
			6.5334428320	39.4916638900	16.9079220200
			6.5516926730	39.4840574600	16.9092664200
			6.5699425130	39.4892394200	16.9097187600
			6.5881923530	39.4870402300	16.9092563400
			6.6064421940	39.4857642000	16.9116859500
			6.6246920340	39.4848901200	16.9112050200
			6.6429418740	39.4833189500	16.9125634100
			6.6611917150	39.4829850500	16.9119857600
			6.6794415550	39.4828229800	16.9136171400
			6.6976913950	39.4820540200	16.9117108900
			6.7159412360	39.4810282900	16.9121586900
			6.7341910760	39.4820822400	16.9125753300
			6.7524409160	39.4808083400	16.9130293800
			6.7706907560	39.4796842400	16.9137988300
			6.7889405970	39.4814560300	16.9134144200
			6.8071904370	39.4795947300	16.9146545800
			6.8254402770	39.4799422000	16.9138603700
			6.8436901180	39.4804316200	16.9130658500
			6.8619399580	39.4831451100	16.9132554600
			6.8801897980	39.4812675100	16.9138190100
