SOLfas2MM			SOLextMM		
t	x	y	t	x	y
6.596042375	-9.955666384	7.984086977	6.596042375	24.01802722	13.77053836
6.621027384	-10.02200897	7.978614812	6.621027384	23.97195551	13.72168658
6.646012393	-10.03641102	7.977155933	6.646012393	23.95506111	13.7531809
6.670997402	-9.929337982	7.989703588	6.670997402	24.00038468	13.81807424
6.695982411	-9.95788532	7.979916525	6.695982411	24.0023365	13.7659855
6.72096742	-10.00049826	7.975855461	6.72096742	23.98291368	13.75185336
6.745952429	-10.04368183	7.97554394	6.745952429	23.95989062	13.74644177
6.770937438	-9.974762695	7.976418771	6.770937438	23.95564191	13.7976195
6.795922447	-9.901006263	7.991707007	6.795922447	24.00858482	13.83468048
6.820907456	-9.851976501	8.007101563	6.820907456	24.02015933	13.8429977
6.845892465	-9.92742912	7.991590727	6.845892465	24.028734	13.81746856
6.870877474	-9.950900022	7.97577297	6.870877474	24.00813868	13.77028175
6.895862483	-10.03169065	7.973027259	6.895862483	23.97518428	13.80324064
6.920847492	-9.912080238	8.030490298	6.920847492	23.95424327	13.86698041
6.9458325	-9.82909133	8.039423701	6.9458325	24.00185375	13.85603156
6.970817509	-9.826394604	8.030814982	6.970817509	24.00710246	13.84108004
