GFsupBEST?			GFext		
t	x	y	t	x	y
18.4571176	22.2877696	20.98052786	18.4571176	3.322816822	24.53834887
18.51237843	22.40029836	20.9868365	18.51237843	3.320494016	24.53699292
18.56763926	22.30975102	20.98494372	18.56763926	3.322168605	24.53799938
18.62290009	22.30073075	20.97796288	18.62290009	3.320278692	24.53798957
18.67816092	22.44714447	20.97073443	18.67816092	3.319570335	24.53822996
18.73342175	22.35531938	20.96716798	18.73342175	3.321769163	24.53980093
18.78868258	22.36162634	20.97237672	18.78868258	3.325471185	24.54025446
18.84394341	22.50382935	20.97826706	18.84394341	3.323125626	24.53924756
18.89920424	22.35894268	20.97594223	18.89920424	3.323954011	24.54100511
18.95446508	22.32794784	20.98211077	18.95446508	3.323494078	24.53993712
19.00972591	22.43475261	20.98778057	19.00972591	3.321893452	24.54093929
19.06498674	22.33767136	20.98648346	19.06498674	3.327353454	24.54025896
19.12024757	22.32541059	20.98876277	19.12024757	3.321185102	24.54057654
19.1755084	22.40736711	20.99099083	19.1755084	3.315117075	24.54069375
19.23076923	22.34604906	20.99170895	19.23076923	3.330823756	24.53990759
19.28603006	22.28754859	20.99280448	19.28603006	3.323726035	24.5398104
19.34129089	22.40492434	20.99770801	19.34129089	3.320891165	24.54032548
19.39655172	22.35421908	20.99683537	19.39655172	3.31976596	24.54048246
19.45181256	22.27653917	20.995114	19.45181256	3.325486969	24.5397602
19.50707339	22.38810876	21.00170072	19.50707339	3.319458616	24.54056914
19.56233422	22.35488104	21.00107302	19.56233422	3.330632038	24.54172328
19.61759505	22.28253337	20.99920784	19.61759505	3.336260656	24.54095779
19.67285588	22.38501193	21.00032488	19.67285588	3.328236031	24.5410546
19.72811671	22.37125864	21.00058921	19.72811671	3.331680337	24.54156989
19.78337754	22.28127369	20.99847111	19.78337754	3.328527429	24.54122395
19.83863837	22.38554548	20.99855792	19.83863837	3.331727575	24.54291941
19.8938992	22.36757566	20.99579681	19.8938992	3.341742756	24.54218185
19.94916004	22.27029837	20.98939129	19.94916004	3.330109529	24.54437762
20.00442087	22.39380349	20.99125236	20.00442087	3.339192276	24.54343855
20.0596817	22.35598095	20.98951777	20.0596817	3.336426754	24.54497648
20.11494253	22.27217482	20.98334735	20.11494253	3.343010996	24.54492939
20.17020336	22.36624736	20.98491608	20.17020336	3.338714996	24.54624849
20.22546419	22.35889886	20.98936704	20.22546419	3.341351938	24.54522871
20.28072502	22.27600405	20.99086546	20.28072502	3.343153145	24.54685344
20.33598585	22.4149491	20.98608636	20.33598585	3.37788678	24.54745463
20.39124668	22.38884436	20.98049245	20.39124668	3.421809767	24.54496397
20.44650752	22.3414136	20.97371106	20.44650752	3.426112639	24.54793096
20.50176835	22.45786139	20.971605	20.50176835	3.438574538	24.54789309
20.55702918	22.47451314	20.97228523	20.55702918	3.438572118	24.55000439
20.61229001	22.40088331	20.9760766	20.61229001	3.435939937	24.5505807
20.66755084	22.48396969	20.97999072	20.66755084	3.429637321	24.54943537
20.72281167	22.43012756	20.97986713	20.72281167	3.433463765	24.55022606
20.7780725	22.39008941	20.98580729	20.7780725	3.436435038	24.55054976
20.83333333	22.47522662	20.98044054	20.83333333	3.440089446	24.54856475
20.88859416	22.3750927	20.99114746	20.88859416	3.445793778	24.5479633
20.943855	22.29307306	20.98258183	20.943855	3.434595166	24.54802349
20.99911583	22.42999511	20.97579572	20.99911583	3.423140131	24.54858795
21.05437666	22.3328952	20.98159083	21.05437666	3.432211355	24.5446035
21.10963749	22.22408969	20.98415881	21.10963749	3.432987967	24.54533018
21.16489832	22.27707532	20.97805206	21.16489832	3.443972666	24.54529177
21.22015915	22.28113748	20.96874374	21.22015915	3.429314921	24.54490858
