GM fasc			Ext		
t	x	y	t	x	y
16.98956781	9.89668588	1.072798641	16.98956781	4.698114178	8.496367687
17.04918033	9.93191838	1.070769526	17.04918033	4.696725694	8.496044759
17.10879285	9.946553349	1.070085802	17.10879285	4.695892484	8.496095115
17.16840537	9.957332629	1.069209184	17.16840537	4.696888581	8.496073481
17.22801788	9.949640773	1.068934989	17.22801788	4.696539616	8.496364371
17.2876304	9.963945743	1.068320669	17.2876304	4.697220086	8.496279255
17.34724292	9.947303507	1.069161143	17.34724292	4.697297757	8.495960161
17.40685544	9.950447661	1.069782799	17.40685544	4.69656389	8.496154252
17.46646796	9.950344382	1.070188586	17.46646796	4.697306608	8.496187791
17.52608048	9.948999736	1.069868847	17.52608048	4.696970015	8.496261511
17.585693	9.951864296	1.070164147	17.585693	4.697980121	8.496288234
17.64530551	9.958444411	1.070657507	17.64530551	4.697866911	8.496225439
17.70491803	9.952245429	1.071056086	17.70491803	4.697326836	8.495673509
17.76453055	9.961733668	1.070139112	17.76453055	4.6978349	8.495681579
17.82414307	9.944096202	1.071383696	17.82414307	4.697657171	8.495936096
17.88375559	9.959105565	1.068930027	17.88375559	4.69729994	8.495979536
17.94336811	9.961522695	1.068863963	17.94336811	4.696656888	8.496331577
18.00298063	9.944568577	1.069561976	18.00298063	4.697353542	8.496211713
18.06259314	9.943250074	1.070350843	18.06259314	4.696039362	8.49625154
18.12220566	9.94039605	1.070429254	18.12220566	4.696700057	8.496360162
18.18181818	9.942064826	1.070378992	18.18181818	4.696634146	8.496207343
18.2414307	9.94674583	1.069631891	18.2414307	4.696605294	8.496265332
18.30104322	9.945976238	1.068887203	18.30104322	4.69768964	8.49624384
18.36065574	9.95059118	1.068090304	18.36065574	4.697070725	8.496057922
18.42026826	9.954376976	1.067589562	18.42026826	4.69639884	8.495682913
18.47988077	9.951314726	1.068959293	18.47988077	4.696971502	8.495827545
18.53949329	9.953555339	1.06858887	18.53949329	4.696182008	8.495728189
18.59910581	9.946263255	1.070000758	18.59910581	4.695589311	8.495372132
18.65871833	9.944668777	1.071553189	18.65871833	4.694806965	8.495230312
18.71833085	9.939371893	1.071189989	18.71833085	4.694596478	8.495191388
18.77794337	9.942223913	1.070957736	18.77794337	4.694322737	8.495408419
18.83755589	9.942656451	1.071190695	18.83755589	4.695307633	8.495461782
18.89716841	9.94083752	1.071332009	18.89716841	4.695775949	8.495621141
18.95678092	9.940008963	1.071395656	18.95678092	4.69659186	8.495814294
19.01639344	9.931101505	1.072863001	19.01639344	4.697195893	8.495844991
19.07600596	9.936074579	1.071847326	19.07600596	4.697338486	8.496053073
19.13561848	9.930735097	1.072321108	19.13561848	4.697428971	8.49601991
19.195231	9.93413727	1.072326467	19.195231	4.697304744	8.496380383
19.25484352	9.936104782	1.071626952	19.25484352	4.695628121	8.496339607
19.31445604	9.938931302	1.070664993	19.31445604	4.69611542	8.496399218
19.37406855	9.938460485	1.07123508	19.37406855	4.695631464	8.496325371
19.43368107	9.940882097	1.070322572	19.43368107	4.696294741	8.496287759
19.49329359	9.935228904	1.069364147	19.49329359	4.695183399	8.49637998
19.55290611	9.9348977	1.069599232	19.55290611	4.694862913	8.496200101
19.61251863	9.943729191	1.068285829	19.61251863	4.696143966	8.496064864
19.67213115	9.94353815	1.068019154	19.67213115	4.69587437	8.496026917
19.73174367	9.942114746	1.069449678	19.73174367	4.695848112	8.496087319
19.79135618	9.943817282	1.069438534	19.79135618	4.694930809	8.496303924
19.8509687	9.943498732	1.068402577	19.8509687	4.695759206	8.496198487
19.91058122	9.941730287	1.068864641	19.91058122	4.696661327	8.49636941
19.97019374	9.942002213	1.068178224	19.97019374	4.695038662	8.496446998
20.02980626	9.94369767	1.067915896	20.02980626	4.696472346	8.496326099
20.08941878	9.955008761	1.06682824	20.08941878	4.696122541	8.496212095
20.1490313	9.954840099	1.066685507	20.1490313	4.697718206	8.496152219
20.20864382	9.965683194	1.065649624	20.20864382	4.698188132	8.496562591
20.26825633	9.959290427	1.065834442	20.26825633	4.697075072	8.496552733
20.32786885	9.949004494	1.067549809	20.32786885	4.696112695	8.496731614
20.38748137	9.947218213	1.069110508	20.38748137	4.698372001	8.497061977
20.44709389	9.944759295	1.070178188	20.44709389	4.698460394	8.497173937
20.50670641	9.945752249	1.069858511	20.50670641	4.698629717	8.497173663
20.56631893	9.942705678	1.070631424	20.56631893	4.697812088	8.497045865
20.62593145	9.945337151	1.070859807	20.62593145	4.698139323	8.496637969
20.68554396	9.952487523	1.071646482	20.68554396	4.696895647	8.496595131
20.74515648	9.94874109	1.07105465	20.74515648	4.695960135	8.496306416
20.804769	9.94834465	1.071219752	20.804769	4.696072849	8.496031176
20.86438152	9.946346148	1.071358158	20.86438152	4.695048229	8.495945099
20.92399404	9.942353228	1.071471619	20.92399404	4.695569371	8.495960405
20.98360656	9.945726766	1.070971084	20.98360656	4.695229513	8.495558842
21.04321908	9.942938687	1.07095763	21.04321908	4.694007918	8.495664476
21.10283159	9.943018824	1.071192997	21.10283159	4.694399486	8.495813693
21.16244411	9.946166805	1.070834187	21.16244411	4.694703401	8.495704566
21.22205663	9.943412003	1.070232613	21.22205663	4.694210432	8.495833405
21.28166915	9.94151903	1.07062403	21.28166915	4.692689337	8.496261178
21.34128167	9.936177197	1.070606954	21.34128167	4.692533758	8.496319809
