FASC_Dist			mass_A		
t	x	y	t	x	y
6.39905853	23.56793689	0.00000000	6.39905853	50.39780864	0.00000000
6.41744663	24.15495405	0.00000000	6.41744663	50.39934308	0.00000000
6.43583473	25.38856675	0.00000000	6.43583473	50.39893116	0.00000000
6.45422283	26.11315185	0.00000000	6.45422283	50.39988552	0.00000000
6.47261093	26.47778547	0.00000000	6.47261093	50.39847256	0.00000000
6.49099903	26.62254060	0.00000000	6.49099903	50.39860867	0.00000000
6.50938713	26.87460822	0.00000000	6.50938713	50.39706008	0.00000000
6.52777522	27.20647291	0.00000000	6.52777522	50.39442625	0.00000000
6.54616332	27.69020568	0.00000000	6.54616332	50.39289707	0.00000000
6.56455142	27.86901902	0.00000000	6.56455142	50.39503704	0.00000000
6.58293952	27.89160168	0.00000000	6.58293952	50.39396817	0.00000000
6.60132762	27.77083307	0.00000000	6.60132762	50.39167789	0.00000000
6.61971572	27.75229328	0.00000000	6.61971572	50.39056263	0.00000000
6.63810382	27.73084089	0.00000000	6.63810382	50.39146149	0.00000000
6.65649192	27.74177039	0.00000000	6.65649192	50.39273031	0.00000000
6.67488002	27.74288708	0.00000000	6.67488002	50.39065016	0.00000000
6.69326812	27.72439872	0.00000000	6.69326812	50.39090008	0.00000000
6.71165622	27.68491459	0.00000000	6.71165622	50.38945358	0.00000000
6.73004432	27.55631723	0.00000000	6.73004432	50.38600653	0.00000000
6.74843242	27.54847217	0.00000000	6.74843242	50.39394146	0.00000000
6.76682051	27.54835002	0.00000000	6.76682051	50.39542802	0.00000000
6.78520861	27.54455243	0.00000000	6.78520861	50.39782290	0.00000000
6.80359671	27.43458550	0.00000000	6.80359671	50.39630530	0.00000000
6.82198481	27.34010891	0.00000000	6.82198481	50.39769298	0.00000000
6.84037291	27.31153924	0.00000000	6.84037291	50.40027930	0.00000000
6.85876101	27.27539068	0.00000000	6.85876101	50.40213422	0.00000000
6.87714911	27.24232302	0.00000000	6.87714911	50.40321046	0.00000000
6.89553721	27.25837211	0.00000000	6.89553721	50.40525645	0.00000000
6.91392531	27.28188164	0.00000000	6.91392531	50.40653680	0.00000000
6.93231341	27.28667699	0.00000000	6.93231341	50.40809533	0.00000000
6.95070151	27.27597549	0.00000000	6.95070151	50.40885273	0.00000000
6.96908961	27.27033798	0.00000000	6.96908961	50.40887664	0.00000000
6.98747770	27.26739928	0.00000000	6.98747770	50.40898578	0.00000000
