mass_C			mass_A		
t	x	y	t	x	y
6.347406161	40.14678615	0	6.347406161	19.58028481	0
6.365698398	40.14780996	0	6.365698398	19.58161578	0
6.383990634	40.15256817	0	6.383990634	19.58081244	0
6.402282871	40.15525713	0	6.402282871	19.58161664	0
6.420575108	40.16302659	0	6.420575108	19.58164797	0
6.438867345	40.15753134	0	6.438867345	19.57985607	0
6.457159581	40.15221231	0	6.457159581	19.58010635	0
6.475451818	40.14649078	0	6.475451818	19.57901867	0
6.493744055	40.14808682	0	6.493744055	19.57857815	0
6.512036292	40.1543357	0	6.512036292	19.57969095	0
6.530328529	40.1558844	0	6.530328529	19.58246887	0
6.548620765	40.15445914	0	6.548620765	19.58182215	0
6.566913002	40.15463727	0	6.566913002	19.58106326	0
6.585205239	40.15194288	0	6.585205239	19.58022418	0
6.603497476	40.1504386	0	6.603497476	19.58125528	0
6.621789712	40.14906352	0	6.621789712	19.57962156	0
6.640081949	40.149348	0	6.640081949	19.57932827	0
6.658374186	40.15183942	0	6.658374186	19.58041819	0
6.676666423	40.15225881	0	6.676666423	19.58078556	0
6.69495866	40.15236655	0	6.69495866	19.58274948	0
6.713250896	40.15374645	0	6.713250896	19.58420292	0
6.731543133	40.14859593	0	6.731543133	19.58058983	0
6.74983537	40.1496507	0	6.74983537	19.58258188	0
6.768127607	40.1553073	0	6.768127607	19.58860765	0
6.786419843	40.15494806	0	6.786419843	19.58691986	0
6.80471208	40.15253547	0	6.80471208	19.58537487	0
6.823004317	40.16231169	0	6.823004317	19.59164798	0
6.841296554	40.23308383	0	6.841296554	19.6075373	0
6.859588791	40.25409108	0	6.859588791	19.60243994	0
6.877881027	40.23780828	0	6.877881027	19.59675262	0
6.896173264	40.23970211	0	6.896173264	19.5926456	0
6.914465501	40.24268982	0	6.914465501	19.5933085	0
6.932757738	40.23696971	0	6.932757738	19.59130342	0
6.951049974	40.22888169	0	6.951049974	19.58660816	0
6.969342211	40.22430505	0	6.969342211	19.58130428	0
6.987634448	40.22104361	0	6.987634448	19.57850847	0
