mass_C			extMMM		
t	x	y	t	x	y
5.7124163270	5.7232996860	-0.4810329350	5.7124163270	36.1369661200	5.1514776850
5.7375811570	5.7671774200	-0.4814450113	5.7375811570	36.1364040400	5.1524382610
5.7627459860	5.7600796750	-0.4804233371	5.7627459860	36.1394548100	5.1518256130
5.7879108160	5.7600267160	-0.4815885952	5.7879108160	36.1360483500	5.1523052710
5.8130756450	5.7559521500	-0.4804315989	5.8130756450	36.1355243200	5.1525258280
5.8382404750	5.7560643820	-0.4799572368	5.8382404750	36.1379353500	5.1523095400
5.8634053050	5.7476731410	-0.4792078104	5.8634053050	36.1381667400	5.1525827160
5.8885701340	5.7465062530	-0.4791736612	5.8885701340	36.1383921800	5.1527790400
5.9137349640	5.7404147780	-0.4784397034	5.9137349640	36.1368456900	5.1530816950
5.9388997940	5.7336414920	-0.4779393447	5.9388997940	36.1401711200	5.1533841710
5.9640646230	5.7431174660	-0.4783810967	5.9640646230	36.1380539500	5.1534405710
5.9892294530	5.7478565510	-0.4793624629	5.9892294530	36.1423629600	5.1537397400
6.0143942830	5.7514033570	-0.4797562766	6.0143942830	36.1411571100	5.1540474920
6.0395591120	5.7460405560	-0.4786294709	6.0395591120	36.1398638100	5.1536843910
6.0647239420	5.7461146660	-0.4783993214	6.0647239420	36.1409321900	5.1536799730
6.0898887710	5.7340972900	-0.4777404004	6.0898887710	36.1418842700	5.1538197940
6.1150536010	5.7129617720	-0.4778152933	6.1150536010	36.1417974800	5.1537127560
6.1402184310	5.6708491060	-0.4772435224	6.1402184310	36.1423247400	5.1537459930
6.1653832600	5.6586315180	-0.4763512664	6.1653832600	36.1412396400	5.1532933880
6.1905480900	5.6446008850	-0.4764592673	6.1905480900	36.1403107900	5.1535608910
6.2157129200	5.5516701450	-0.4763166130	6.2157129200	36.1374006600	5.1536803210
6.2408777490	5.5210560920	-0.4757601210	6.2408777490	36.1354409500	5.1531292390
6.2660425790	5.4696425800	-0.4761209384	6.2660425790	36.1362641100	5.1526986580
6.2912074090	5.4087850470	-0.4769414980	6.2912074090	36.1243808400	5.1512631890
6.3163722380	5.3856794540	-0.4765564963	6.3163722380	36.1204292900	5.1508179250
6.3415370680	5.3689731710	-0.4762891162	6.3415370680	36.1153909800	5.1497491190
6.3667018970	5.3515174200	-0.4756038009	6.3667018970	36.1004683900	5.1488716170
6.3918667270	5.3009322900	-0.4747995035	6.3918667270	36.0598177300	5.1473469250
6.4170315570	5.3010680110	-0.4760754124	6.4170315570	36.0523188900	5.1468789650
6.4421963860	5.2837300290	-0.4761242635	6.4421963860	36.0544333900	5.1456539230
6.4673612160	5.2913993790	-0.4768784860	6.4673612160	36.0499101500	5.1458278910
6.4925260460	5.2988108800	-0.4783358225	6.4925260460	36.0411531800	5.1466456090
6.5176908750	5.2957051460	-0.4787705557	6.5176908750	36.0451190400	5.1471745000
6.5428557050	5.3020803420	-0.4802123753	6.5428557050	36.0379605100	5.1482133770
6.5680205350	5.2997144330	-0.4795429234	6.5680205350	36.0437079500	5.1476658640
6.5931853640	5.2964611550	-0.4792737800	6.5931853640	36.0432094100	5.1480976180
6.6183501940	5.2946941590	-0.4798131299	6.6183501940	36.0476135500	5.1484695900
6.6435150230	5.2989734560	-0.4796359360	6.6435150230	36.0499834600	5.1494962520
6.6686798530	5.2985333760	-0.4798290627	6.6686798530	36.0534485800	5.1492273440
6.6938446830	5.2950139210	-0.4799238721	6.6938446830	36.0519876100	5.1492633880
6.7190095120	5.2952958230	-0.4791669211	6.7190095120	36.0516225800	5.1494930470
6.7441743420	5.2979637590	-0.4791490854	6.7441743420	36.0517264500	5.1495316130
6.7693391720	5.3000979650	-0.4789839181	6.7693391720	36.0529917600	5.1502102280
6.7945040010	5.3003441000	-0.4797636665	6.7945040010	36.0530379500	5.1503013090
6.8196688310	5.3002385680	-0.4792291382	6.8196688310	36.0536398600	5.1508338020
6.8448336600	5.3009559860	-0.4798191337	6.8448336600	36.0553062100	5.1507626270
6.8699984900	5.3022902110	-0.4796483774	6.8699984900	36.0540133900	5.1513670750
6.8951633200	5.3044598250	-0.4798914182	6.8951633200	36.0518349000	5.1514482130
6.9203281490	5.3054671570	-0.4797095430	6.9203281490	36.0578830600	5.1515266690
6.9454929790	5.3165967950	-0.4820741294	6.9454929790	36.0512644100	5.1513926350
6.9706578090	5.3464156480	-0.4828001100	6.9706578090	36.0542632700	5.1516965480
